12.7877 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
58.0432 	EXP 	fixation: autoDraw = True
59.0424 	EXP 	fixation: autoDraw = False
59.0424 	EXP 	grating: autoDraw = True
59.3418 	EXP 	grating: autoDraw = False
59.5269 	DATA 	Keypress: down
59.5449 	EXP 	New trial (rep=10, index=0): None
59.5587 	EXP 	fixation: autoDraw = False
59.5587 	EXP 	grating: autoDraw = False
59.5587 	EXP 	grating: ori = 3.0
59.5587 	EXP 	fixation: autoDraw = True
60.5580 	EXP 	fixation: autoDraw = False
60.5580 	EXP 	grating: autoDraw = True
60.8575 	EXP 	grating: autoDraw = False
61.0266 	EXP 	New trial (rep=11, index=0): None
61.0276 	DATA 	Keypress: down
61.0407 	EXP 	fixation: autoDraw = False
61.0407 	EXP 	grating: autoDraw = False
61.0407 	EXP 	grating: ori = 0.0
61.0407 	EXP 	fixation: autoDraw = True
62.0398 	EXP 	fixation: autoDraw = False
62.0398 	EXP 	grating: autoDraw = True
62.3397 	EXP 	grating: autoDraw = False
62.8096 	EXP 	New trial (rep=12, index=0): None
62.8108 	DATA 	Keypress: up
62.8227 	EXP 	fixation: autoDraw = False
62.8227 	EXP 	grating: autoDraw = False
62.8227 	EXP 	grating: ori = -4.0
62.8227 	EXP 	fixation: autoDraw = True
63.8220 	EXP 	fixation: autoDraw = False
63.8220 	EXP 	grating: autoDraw = True
64.1218 	EXP 	grating: autoDraw = False
64.3084 	EXP 	New trial (rep=13, index=0): None
64.3097 	DATA 	Keypress: down
64.3215 	EXP 	fixation: autoDraw = False
64.3215 	EXP 	grating: autoDraw = False
64.3215 	EXP 	grating: ori = 0.0
64.3215 	EXP 	fixation: autoDraw = True
65.3209 	EXP 	fixation: autoDraw = False
65.3209 	EXP 	grating: autoDraw = True
65.6205 	EXP 	grating: autoDraw = False
65.9240 	EXP 	New trial (rep=14, index=0): None
65.9252 	DATA 	Keypress: up
65.9366 	EXP 	fixation: autoDraw = False
65.9366 	EXP 	grating: autoDraw = False
65.9366 	EXP 	grating: ori = 0.0
65.9366 	EXP 	fixation: autoDraw = True
66.9359 	EXP 	fixation: autoDraw = False
66.9359 	EXP 	grating: autoDraw = True
67.2356 	EXP 	grating: autoDraw = False
67.4728 	EXP 	New trial (rep=15, index=0): None
67.4739 	DATA 	Keypress: up
67.4853 	EXP 	fixation: autoDraw = False
67.4853 	EXP 	grating: autoDraw = False
67.4853 	EXP 	grating: ori = 0.0
67.4853 	EXP 	fixation: autoDraw = True
68.4847 	EXP 	fixation: autoDraw = False
68.4847 	EXP 	grating: autoDraw = True
68.7843 	EXP 	grating: autoDraw = False
