trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
14,0,14,0,65.93656759998703,66.93594169999415,66.93594169999415,up,1,0.5278734000021359,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
15,0,15,0,67.48533639998641,68.48468629999843,68.48468629999843,down,0,0.38034930000139866,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
16,0,16,0,68.88418289998663,69.88352209998993,69.88352209998993,up,0,0.4014298999973107,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
17,0,17,0,70.31676869999501,71.31574589999218,71.31574589999218,down,1,0.39178249999531545,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
18,0,18,0,71.73175879998598,72.73121790000005,72.73121790000005,up,1,0.49005780000879895,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
19,0,19,0,73.24736069999926,74.24667099998624,74.24667099998624,up,0,0.4137312000093516,-3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
20,0,20,0,74.67953319998924,75.6788680999889,75.6788680999889,up,1,0.3762340000102995,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
21,0,21,0,76.07816009999078,77.07768239999132,77.07768239999132,down,0,0.40744789999735076,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
22,0,22,0,77.5106104999868,78.50989299999492,78.50989299999492,up,0,0.41767629999958444,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
23,0,23,0,78.95917159999954,79.95869749999838,79.95869749999838,down,1,0.6492502000037348,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
24,0,24,0,80.62451239999791,81.62390089999826,81.62390089999826,up,1,0.5718652999930782,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
25,0,25,0,82.22334439998667,83.239190399996,83.22228429999086,up,0,0.38338780000049155,4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
26,0,26,0,83.6220151999878,84.6214340999868,84.6214340999868,up,0,0.47522890000254847,-2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
27,0,27,0,85.12101989999064,86.12031089999073,86.12031089999073,down,0,0.39405940000142436,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
28,0,28,0,86.53625459999603,87.53594379998685,87.53594379998685,up,1,0.3102217000123346,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
29,0,29,0,87.86854289998882,88.86788369998976,88.86788369998976,up,1,0.38142570000491105,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
30,0,30,0,89.26749919999565,90.26667119999183,90.26667119999183,down,1,0.5278392000036547,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
31,0,31,0,90.8162169999996,91.81545729999198,91.81545729999198,up,0,0.3003186999994796,4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
32,0,32,0,92.13194289999956,93.14787059999071,93.13139939999382,up,1,0.49959649999800604,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
33,0,33,0,93.64742779999506,94.64679400000023,94.64679400000023,up,0,0.5315184999926714,-2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
34,0,34,0,95.19609779999882,96.19536899999366,96.19536899999366,down,0,0.973424800002249,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
35,0,35,0,97.19434179998643,98.1937414999993,98.1937414999993,down,1,0.44370940000226256,-4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
36,0,36,0,98.65994479999063,99.65897539998696,99.65897539998696,down,1,0.43721209999057464,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
37,0,37,0,100.125160399999,101.14133199999924,101.1244699999952,down,1,0.36646720000135247,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
38,0,38,0,101.50716969999485,102.50676509999903,102.50676509999903,down,0,0.5823363000090467,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
39,0,39,0,103.1062205999915,104.1055037999904,104.1055037999904,up,1,0.29307759999937844,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
40,0,40,0,104.42186459999357,105.4378849999921,105.42129229998682,up,0,0.5478036999993492,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
41,0,41,0,105.98714610000025,106.98644209999475,106.98644209999475,up,1,1.0114981000078842,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
42,0,42,0,108.01891059998889,109.01790499998606,109.01790499998606,down,1,0.3850990000064485,4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
43,0,43,0,109.43412819999503,110.43379459998687,110.43379459998687,up,1,0.41451420000521466,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
44,0,44,0,110.86640149999585,111.86576119999518,111.86576119999518,down,1,0.45787949999794364,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
45,0,45,0,112.34846109998762,113.34782819999964,113.34782819999964,up,1,0.5412918000074569,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
46,0,46,0,113.91415779999807,114.92981629999122,114.91308579999895,up,1,0.6771437999996124,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
47,0,47,0,115.61242739998852,116.61185679999471,116.61185679999471,up,1,0.6107748999929754,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
48,0,48,0,117.24449459998868,118.24382359998708,118.24382359998708,up,1,0.5765468000026885,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
49,0,49,0,118.84316699999908,119.84227179999289,119.84227179999289,down,1,0.4208622000005562,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
50,0,50,0,120.29206209999393,121.29120979999425,121.29120979999425,up,1,0.5857478000107221,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
51,0,51,0,121.90746309999668,122.9067989999894,122.9067989999894,down,1,0.5376030999905197,1,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
52,0,52,0,123.47299599999678,124.47232699999586,124.47232699999586,up,0,0.3344716999999946,-3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
53,0,53,0,124.83821829999215,125.8374063999945,125.8374063999945,up,1,0.40899110000464134,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
54,0,54,0,126.27035369999066,127.26975229999516,127.26975229999516,up,1,0.3635188000043854,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
55,0,55,0,127.65273469999374,128.65210449999722,128.65210449999722,up,0,0.2917209000006551,-2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
56,0,56,0,128.96841529999801,129.9842054999899,129.96759329999622,up,0,0.30757530000119004,1,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
57,0,57,0,130.30020199999854,131.29972669998824,131.29972669998824,down,0,0.3495050000055926,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
58,0,58,0,131.66609859999153,132.6654157999874,132.6654157999874,down,0,0.33275429999048356,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
59,0,59,0,133.01482909999322,134.01428619999206,134.01428619999206,up,0,0.42142579999926966,4,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
60,0,60,0,134.46353359999193,135.46312079999188,135.46312079999188,up,1,2.8951935000077356,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
61,0,61,0,138.37715789998765,139.37639359998866,139.37639359998866,down,1,1.423767800006317,-3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
62,0,62,0,140.82494479999878,141.82420089999505,141.82420089999505,up,1,0.7139697000093292,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
63,0,63,0,142.55720909999218,143.55657069999143,143.55657069999143,up,1,0.8085533999983454,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
64,0,64,0,144.3891694999911,145.40471889999753,145.38817789999302,up,1,0.4231162999931257,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
65,0,65,0,145.8376583999925,146.83695699999225,146.83695699999225,up,0,0.851154799995129,-2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
66,0,66,0,147.71936989999085,148.7188005999924,148.7188005999924,down,0,0.7707750999979908,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
67,0,67,0,149.51792809998733,150.51717159998952,150.51717159998952,up,1,0.7723540000006324,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
68,0,68,0,151.31645419998677,152.31577599998855,152.31577599998855,down,1,0.6160999999992782,2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
69,0,69,0,152.94859709999582,153.9479072999966,153.9479072999966,down,1,0.9015073000045959,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
70,0,70,0,154.88048109998635,155.8962724999874,155.87969019998854,up,1,0.421314799998072,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
71,0,71,0,156.32916579999437,157.3284125999926,157.3284125999926,up,1,0.4718286999996053,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
72,0,72,0,157.82809959999577,158.8438763999875,158.82736299998942,down,1,0.6152727000007872,3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
73,0,73,0,159.45943499999703,160.45912329999555,160.45912329999555,up,0,0.5115488000010373,-3,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
74,0,74,0,160.9920853999938,161.99142959999153,161.99142959999153,up,1,0.6183840000012424,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
75,0,75,0,162.64066159998765,163.6560718999972,163.63969499999075,up,0,0.4254815000022063,-2,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
76,0,76,0,164.0895368999918,165.0887292999978,165.0887292999978,up,1,0.6549718000023859,0,221029,001,2022-09-10_15h49.22.434,T4,2022.2.3,60.14574516791708,
